--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:28:49 2023
--------------------------------------------------------------------------------

{'pid': 9108, 'name': 'UserOOBEBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 2.19921875}
{'pid': 9116, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 18.38671875}
{'pid': 9268, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 32.91015625}
{'pid': 9388, 'name': 'Microsoft.Photos.exe', 'username': 'DC2\\ashinde05', 'vms': 62.28515625}
{'pid': 9420, 'name': 'unsecapp.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.5546875}
{'pid': 9432, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 187.546875}
{'pid': 9524, 'name': 'TextInputHost.exe', 'username': 'DC2\\ashinde05', 'vms': 44.546875}
{'pid': 9540, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 56.796875}
{'pid': 9628, 'name': 'OneDrive.exe', 'username': 'DC2\\ashinde05', 'vms': 75.2578125}
{'pid': 9688, 'name': 'SecurityHealthSystray.exe', 'username': 'DC2\\ashinde05', 'vms': 1.84765625}
{'pid': 9720, 'name': 'SecurityHealthService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.61328125}
{'pid': 9844, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 24.03515625}
{'pid': 9848, 'name': 'tvnserver.exe', 'username': 'DC2\\ashinde05', 'vms': 1.57421875}
{'pid': 9856, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.53515625}
{'pid': 9864, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 9.85546875}
{'pid': 9896, 'name': 'RtkAudUService64.exe', 'username': 'DC2\\ashinde05', 'vms': 3.3828125}
{'pid': 9908, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.25390625}
{'pid': 9968, 'name': 'WavesSvc64.exe', 'username': 'DC2\\ashinde05', 'vms': 212.5703125}
{'pid': 9984, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 208.6015625}
{'pid': 10272, 'name': 'python.exe', 'username': 'DC2\\ashinde05', 'vms': 7.06640625}
{'pid': 10404, 'name': 'SentinelBrowserNativeHost.exe', 'username': 'DC2\\ashinde05', 'vms': 3.55078125}
{'pid': 10508, 'name': 'WebexHost.exe', 'username': 'DC2\\ashinde05', 'vms': 9.79296875}
{'pid': 10544, 'name': 'atmgr.exe', 'username': 'DC2\\ashinde05', 'vms': 73.04296875}
{'pid': 10632, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 214.18359375}
{'pid': 10664, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 6.7890625}
{'pid': 10872, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 403.453125}
{'pid': 10880, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 39.203125}
{'pid': 10908, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 15.58203125}
{'pid': 11120, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 25.06640625}
{'pid': 11236, 'name': 'cmd.exe', 'username': 'DC2\\ashinde05', 'vms': 2.0703125}
{'pid': 11248, 'name': 'conhost.exe', 'username': 'DC2\\ashinde05', 'vms': 6.55859375}
{'pid': 11296, 'name': 'slack.exe', 'username': 'DC2\\ashinde05', 'vms': 77.171875}
{'pid': 11412, 'name': 'ShellExperienceHost.exe', 'username': 'DC2\\ashinde05', 'vms': 47.9453125}
{'pid': 11420, 'name': 'OcsSystray.exe', 'username': 'DC2\\ashinde05', 'vms': 2.7265625}
{'pid': 11428, 'name': 'WmiPrvSE.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 25.27734375}
{'pid': 11448, 'name': 'slack.exe', 'username': 'DC2\\ashinde05', 'vms': 11.0703125}
{'pid': 11540, 'name': 'slack.exe', 'username': 'DC2\\ashinde05', 'vms': 152.625}
{'pid': 11564, 'name': 'slack.exe', 'username': 'DC2\\ashinde05', 'vms': 16.0859375}
{'pid': 11748, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 52.84765625}
{'pid': 11800, 'name': 'slack.exe', 'username': 'DC2\\ashinde05', 'vms': 208.84375}
{'pid': 12000, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 77.3359375}
{'pid': 12008, 'name': 'slack.exe', 'username': 'DC2\\ashinde05', 'vms': 42.453125}
{'pid': 12084, 'name': 'DCProcessMonitor.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.16015625}
{'pid': 12120, 'name': 'dcagenttrayicon.exe', 'username': 'DC2\\ashinde05', 'vms': 5.7734375}
{'pid': 12144, 'name': 'WmiPrvSE.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 34.7265625}
{'pid': 12236, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 5.390625}
{'pid': 12368, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.4765625}
