--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:23:07 2023
--------------------------------------------------------------------------------

{'pid': 13092, 'username': 'DC2\\ashinde05', 'name': 'conhost.exe', 'vms': 7.0078125}
{'pid': 13180, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.2109375}
{'pid': 13268, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 178.234375}
{'pid': 13284, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.09765625}
{'pid': 13288, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'dcondemand.exe', 'vms': 8.3203125}
{'pid': 13292, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'DellSupportAssistRemedationService.exe', 'vms': 73.72265625}
{'pid': 13316, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Dell.TechHub.Instrumentation.UserProcess.exe', 'vms': 42.03515625}
{'pid': 13384, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe', 'vms': 52.9453125}
{'pid': 13396, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.58203125}
{'pid': 13460, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'vms': 66.19921875}
{'pid': 13480, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.5859375}
