--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:25:27 2023
--------------------------------------------------------------------------------

{'name': 'spoolsv.exe', 'pid': 4136, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 5.4765625}
{'name': 'Code.exe', 'pid': 4172, 'username': 'DC2\\ashinde05', 'vms': 46.05859375}
{'name': 'chrome.exe', 'pid': 4192, 'username': 'DC2\\ashinde05', 'vms': 74.81640625}
{'name': 'mDNSResponder.exe', 'pid': 4220, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.8046875}
{'name': 'svchost.exe', 'pid': 4232, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.50390625}
{'name': 'armsvc.exe', 'pid': 4248, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.546875}
{'name': 'svchost.exe', 'pid': 4288, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.2578125}
{'name': 'svchost.exe', 'pid': 4296, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 4.765625}
{'name': 'svchost.exe', 'pid': 4304, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 39.93359375}
{'name': 'esif_uf.exe', 'pid': 4356, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.08984375}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 4364, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 36.25}
{'name': 'svchost.exe', 'pid': 4380, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 22.0078125}
{'name': 'svchost.exe', 'pid': 4428, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.6796875}
{'name': 'IntelAudioService.exe', 'pid': 4436, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 38.0390625}
{'name': 'dwm.exe', 'pid': 4584, 'username': 'Window Manager\\DWM-1', 'vms': 94.984375}
{'name': 'SentinelServiceHost.exe', 'pid': 4592, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 22.65234375}
{'name': 'dcagentservice.exe', 'pid': 4600, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.4765625}
{'name': 'jhi_service.exe', 'pid': 4616, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.34765625}
{'name': 'svchost.exe', 'pid': 4640, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.609375}
{'name': 'FileCoAuth.exe', 'pid': 4648, 'username': 'DC2\\ashinde05', 'vms': 4.46875}
{'name': 'RuntimeBroker.exe', 'pid': 4712, 'username': 'DC2\\ashinde05', 'vms': 5.80078125}
{'name': 'OcsService.exe', 'pid': 4724, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.609375}
{'name': 'PanGPS.exe', 'pid': 4732, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 9.6171875}
{'name': 'svchost.exe', 'pid': 4760, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.5546875}
{'name': 'svchost.exe', 'pid': 4784, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.171875}
{'name': 'RtkAudUService64.exe', 'pid': 4828, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 5.20703125}
{'name': 'TbtP2pShortcutService.exe', 'pid': 4836, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.30859375}
{'name': 'SentinelAgent.exe', 'pid': 4856, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 24.19921875}
{'name': 'svchost.exe', 'pid': 4872, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.48046875}
{'name': 'svchost.exe', 'pid': 4960, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.3125}
{'name': 'tvnserver.exe', 'pid': 4968, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.26171875}
{'name': 'svchost.exe', 'pid': 4976, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.3046875}
{'name': 'WavesAudioService.exe', 'pid': 5028, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 12.1953125}
{'name': 'WMIRegistrationService.exe', 'pid': 5064, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.72265625}
{'name': 'WavesSysSvc64.exe', 'pid': 5072, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 11.57421875}
{'name': 'chrome.exe', 'pid': 5112, 'username': 'DC2\\ashinde05', 'vms': 17.37109375}
{'name': 'svchost.exe', 'pid': 5220, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.26953125}
{'name': 'svchost.exe', 'pid': 5268, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 4.0234375}
{'name': 'dllhost.exe', 'pid': 5356, 'username': 'DC2\\ashinde05', 'vms': 3.140625}
{'name': 'svchost.exe', 'pid': 5372, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 2.53125}
{'name': 'SearchIndexer.exe', 'pid': 5380, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 23.09765625}
{'name': 'TSVNCache.exe', 'pid': 5424, 'username': 'DC2\\ashinde05', 'vms': 35.31640625}
{'name': 'smartscreen.exe', 'pid': 5664, 'username': 'DC2\\ashinde05', 'vms': 7.80078125}
{'name': 'svchost.exe', 'pid': 5812, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.45703125}
{'name': 'WmiPrvSE.exe', 'pid': 5832, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 14.4921875}
{'name': 'dcswmeter.exe', 'pid': 5856, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 5.5}
{'name': 'StartMenuExperienceHost.exe', 'pid': 5872, 'username': 'DC2\\ashinde05', 'vms': 55.0234375}
{'name': 'RuntimeBroker.exe', 'pid': 5988, 'username': 'DC2\\ashinde05', 'vms': 3.43359375}
{'name': 'svchost.exe', 'pid': 6072, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 2.21875}
{'name': 'RuntimeBroker.exe', 'pid': 6112, 'username': 'DC2\\ashinde05', 'vms': 2.4921875}
{'name': 'svchost.exe', 'pid': 6136, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.23046875}
{'name': 'conhost.exe', 'pid': 6184, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.09765625}
{'name': 'svchost.exe', 'pid': 6464, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.16015625}
{'name': 'WmiPrvSE.exe', 'pid': 6512, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 36.76171875}
{'name': 'RtkAudUService64.exe', 'pid': 6620, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.83984375}
{'name': 'sublime_text.exe', 'pid': 6860, 'username': 'DC2\\ashinde05', 'vms': 100.25390625}
{'name': 'Code.exe', 'pid': 6904, 'username': 'DC2\\ashinde05', 'vms': 47.1875}
{'name': 'ctfmon.exe', 'pid': 6916, 'username': 'DC2\\ashinde05', 'vms': 4.33984375}
{'name': 'svchost.exe', 'pid': 7080, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.6640625}
{'name': 'svchost.exe', 'pid': 7184, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.28125}
{'name': 'svchost.exe', 'pid': 7384, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.51953125}
